[5] RAGE Multiplayer 1.1 (2062618) started at 08-06-2025 22:01:29
OS: Windows 10 Pro (26100)
CPU: Intel(R) Core(TM) i9-14900K

[116] Loading DLL: d3d11.dll
[155] Loading DLL: gdi32.dll
[166] Loading DLL: ntdll.dll
[175] Loading DLL: dxcore.dll
[187] Loading DLL: c:\windows\system32\wlanapi.dll
[188] 1 - 5 - 1 - 1
[217] Loading DLL: api-ms-win-appmodel-runtime-l1-1-2
[350] Loading DLL: secur32.dll
[377] Loading DLL: iphlpapi.dll
[377] Loading DLL: c:\windows\system32\mswsock.dll
[401] Loading DLL: c:\windows\system32\bcryptprimitives.dll
[403] Loading DLL: c:\windows\system32\mswsock.dll
[418] Loading DLL: kernel32.dll
[428] Loading DLL: c:\windows\system32\rasadhlp.dll
[455] Loading DLL: e:\github\gang-gpt-gta-v\eossdk-win64-shipping.dll
[459] Loading DLL: c:\windows\system32\fwpuclnt.dll
[622] Loading DLL: kernelbase.dll
[688] Loading DLL: sspicli.dll
[688] Loading DLL: c:\windows\system32\schannel.dll
[706] Loading DLL: c:\windows\system32\napinsp.dll
[722] Loading DLL: c:\windows\system32\winrnr.dll
[745] Loading DLL: c:\windows\system32\ncryptsslp.dll
[756] Loading DLL: c:\windows\system32\nlansp_c.dll
[785] Loading DLL: c:\windows\system32\wshbth.dll
[819] Loading DLL: dxgi.dll
[819] Loading DLL: ext-ms-win-core-resourcepolicy-l1-1-0.dll
[840] Video Memory: 8024 MB
[840] RAM: 65366 MB
[1074] Loading DLL: e:\github\gang-gpt-gta-v\dotnet\coreclr.dll
[1111] Loading DLL: api-ms-win-core-synch-l1-2-0
[1111] Loading DLL: api-ms-win-core-fibers-l1-1-1
[1114] Loading DLL: ntdll
[1114] Loading DLL: api-ms-win-core-windowserrorreporting-l1-1-0.dll
[1151] Loading DLL: e:\github\gang-gpt-gta-v\dotnet\system.private.corelib.dll
[1156] Loading DLL: kernel32
[1156] Loading DLL: e:\github\gang-gpt-gta-v\dotnet\clrjit.dll
[1166] Loading DLL: e:\github\gang-gpt-gta-v\dotnet\kernel32.dll
[1168] Loading DLL: api-ms-win-core-winrt-string-l1-1-0.dll
[1169] Loading DLL: e:\github\gang-gpt-gta-v\dotnet\bcrypt.dll
[1169] Loading DLL: bcrypt.dll
[1176] Loading DLL: c:\program files\lghub\sdks\sdk_legacy_led_x64.dll
[1176] Loading DLL: e:\github\gang-gpt-gta-v\dotnet\rage-sharpn.dll
[1253] Loading DLL: e:\github\gang-gpt-gta-v\dotnet\system.runtime.dll
[1255] Loading DLL: api-ms-win-core-winrt-l1-1-0.dll
[1258] Loading DLL: e:\github\gang-gpt-gta-v\dotnet\advapi32.dll
[1258] Loading DLL: advapi32.dll
[1261] Loading DLL: api-ms-win-core-synch-l1-1-0.dll
[1262] Loading DLL: e:\github\gang-gpt-gta-v\dotnet\system.collections.dll
[1271] Loading DLL: e:\github\gang-gpt-gta-v\dotnet\microsoft.codeanalysis.dll
[1273] Loading DLL: e:\github\gang-gpt-gta-v\dotnet\netstandard.dll
[1325] Loading DLL: e:\github\gang-gpt-gta-v\dotnet\system.collections.immutable.dll
[1329] Loading DLL: dbghelp.dll
[1329] Loading DLL: rpcrt4.dll
[1343] Loading DLL: e:\github\gang-gpt-gta-v\dotnet\microsoft.codeanalysis.csharp.dll
[1346] Loading DLL: e:\github\gang-gpt-gta-v\dotnet\system.reflection.metadata.dll
[1349] Loading DLL: e:\github\gang-gpt-gta-v\dotnet\system.runtime.extensions.dll
[1370] Loading DLL: c:\windows\system32\rsaenh.dll
[1371] Loading DLL: d3d9.dll
[1371] Loading DLL: d3d11.dll
[1373] Loading DLL: e:\github\gang-gpt-gta-v\dotnet\neosmart.hashing.dll
[1376] Loading DLL: c:\windows\system32\driverstore\filerepository\nv_dispi.inf_amd64_2c61c4d89b199ea8\nvldumdx.dll
[1400] Loading DLL: c:\games files\gtav\eossdk-win64-shipping.dll
[1402] Loading DLL: e:\github\gang-gpt-gta-v\dotnet\xxhash.dll
[1435] Loading DLL: api-ms-win-core-localization-l1-2-1
[1437] Loading DLL: msasn1.dll
[1437] Loading DLL: cryptnet.dll
[1612] Loading DLL: e:\github\gang-gpt-gta-v\dotnet\newtonsoft.json.dll
[1633] Loading DLL: c:\windows\system32\cryptnet.dll
[1633] Loading DLL: cryptbase.dll
[1633] Loading DLL: wldp.dll
[1635] Loading DLL: e:\github\gang-gpt-gta-v\dotnet\system.diagnostics.process.dll
[1653] Loading DLL: drvstore.dll
[1654] Loading DLL: e:\github\gang-gpt-gta-v\dotnet\system.componentmodel.primitives.dll
[1655] Loading DLL: e:\github\gang-gpt-gta-v\dotnet\system.collections.specialized.dll
[1677] Loading DLL: devobj.dll
[1677] Loading DLL: crypt32.dll
[1678] Loading DLL: wintrust.dll
[1679] Loading DLL: wintrust.dll
[1679] Loading DLL: c:\windows\system32\crypt32.dll
[1681] Loading DLL: e:\github\gang-gpt-gta-v\dotnet\system.linq.dll
